id;title;content;paid_member_only;publish_third_party_app
1;Singapore Mexico;../fake-data/blob/hipster.txt;true;false
2;invoice action-items Steel;../fake-data/blob/hipster.txt;false;true
3;copy 24/7 Generic;../fake-data/blob/hipster.txt;false;true
4;Pataca;../fake-data/blob/hipster.txt;false;true
5;deposit revolutionize;../fake-data/blob/hipster.txt;true;false
6;Optimized hardware Suriname;../fake-data/blob/hipster.txt;true;false
7;compress;../fake-data/blob/hipster.txt;false;false
8;payment Identity;../fake-data/blob/hipster.txt;false;true
9;Communications mint;../fake-data/blob/hipster.txt;true;true
10;Developer Loan;../fake-data/blob/hipster.txt;false;false
